Site,date,swe (mm)
County Line Tree,2019-12-19 14:20:00,139.0
County Line Tree,2020-01-22 12:25:00,206.5
County Line Tree,2020-01-31 10:16:00,106.0
County Line Tree,2020-02-12 10:30:00,255.0
County Line Tree,2020-02-26 08:55:00,280.5
County Line Tree,2020-03-04 12:52:00,294.5
County Line Tree,2020-03-12 10:30:00,315.5
County Line Tree,2020-03-18 10:05:00,299.0
County Line Tree,2020-03-25 12:30:00,381.0
