Site,date,swe (mm)
Mesa West Trees,2020-03-05 09:35:00,142.0
Mesa West Trees,2020-03-16 10:50:00,323.0
Mesa West Trees,2020-03-16 12:28:00,274.5
Mesa West Trees,2020-03-31 11:45:00,240.0
Mesa West Trees,2020-03-31 13:10:00,315.0
Mesa West Trees,2020-04-09 07:25:00,366.5
Mesa West Trees,2020-04-09 14:40:00,455.0
