Site,date,swe (mm)
Mesa West Open,2020-03-05 08:09:00,247.5
Mesa West Open,2020-03-16 08:41:00,330.0
Mesa West Open,2020-03-16 13:58:00,295.0
Mesa West Open,2020-03-16 15:19:00,215.5
Mesa West Open,2020-03-31 09:34:00,376.0
Mesa West Open,2020-03-31 15:30:00,482.5
Mesa West Open,2020-04-08 15:51:00,436.5
Mesa West Open,2020-04-09 05:50:00,462.0
Mesa West Open,2020-04-09 12:18:00,475.0
Mesa West Open,2020-04-09 16:15:00,418.5
