Site,date,swe (mm)
County Line Open,2019-12-19 12:20:00,146.0
County Line Open,2019-12-20 10:30:00,150.0
County Line Open,2020-01-22 10:15:00,261.5
County Line Open,2020-01-31 08:30:00,306.0
County Line Open,2020-02-12 08:52:00,276.5
County Line Open,2020-02-19 09:30:00,185.5
County Line Open,2020-02-26 07:15:00,319.5
County Line Open,2020-03-04 09:21:00,275.5
County Line Open,2020-03-12 08:50:00,293.0
County Line Open,2020-03-18 08:25:00,323.0
County Line Open,2020-03-25 10:15:00,372.0
County Line Open,2020-04-17 15:09:00,418.5
